true\pred,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_718,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__RM_126,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_708,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_709,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_001,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_006,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_020,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_030,Lise-Meitner-Str-9_9377__Outdoor__North,Lise-Meitner-Str-9_9377__Outdoor__North_East,Lise-Meitner-Str-9_9377__Outdoor__South,Lise-Meitner-Str-9_9377__Outdoor__South_East,Willy-Messerschmitt-5_9387__Indoor__HW_701,Willy-Messerschmitt-5_9387__Indoor__RM_006,Willy-Messerschmitt-5_9387__Indoor__RM_011,Willy-Messerschmitt-5_9387__Indoor__RM_012,Willy-Messerschmitt-5_9387__Indoor__RM_019,Willy-Messerschmitt-5_9387__Indoor__RM_020,Willy-Messerschmitt-5_9387__Outdoor__Main_entrance
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,26,4,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_718,4,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,2,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__RM_126,0,0,0,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,1,0,1,0,33,3,3,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_708,1,0,0,0,3,50,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_709,2,0,6,0,4,1,53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_001,0,0,0,0,0,0,0,44,0,0,0,4,0,0,0,2,0,1,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_006,0,0,1,0,0,1,1,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,1,0,1,0,1,0,1,0,3,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,0,0,0,0,0,0,0,0,6,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_020,0,0,0,0,0,0,0,11,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_030,0,0,0,0,0,0,1,0,1,0,1,0,50,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Outdoor__North,0,0,0,0,1,1,0,0,0,0,0,0,0,47,2,4,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Outdoor__North_East,0,0,0,0,0,0,0,0,0,0,0,0,0,4,55,7,11,0,0,0,0,0,0,1
Lise-Meitner-Str-9_9377__Outdoor__South,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,61,1,0,0,0,0,1,0,3
Lise-Meitner-Str-9_9377__Outdoor__South_East,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,4,54,0,0,0,0,0,0,2
Willy-Messerschmitt-5_9387__Indoor__HW_701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,1,0
Willy-Messerschmitt-5_9387__Indoor__RM_006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0,0,0,0
Willy-Messerschmitt-5_9387__Indoor__RM_011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,39,11,0,0,0
Willy-Messerschmitt-5_9387__Indoor__RM_012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,12,41,0,0,0
Willy-Messerschmitt-5_9387__Indoor__RM_019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,39,12,0
Willy-Messerschmitt-5_9387__Indoor__RM_020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,27,0
Willy-Messerschmitt-5_9387__Outdoor__Main_entrance,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,69
