class,n_val,correct,acc_in_class,top_misclass,top_misclass_count,top_misclass_pct
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,37,26,0.7027027027027027,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_718,4,0.10810810810810811
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_718,33,26,0.7878787878787878,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,4,0.12121212121212122
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,18,13,0.7222222222222222,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_709,3,0.16666666666666666
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__RM_126,45,44,0.9777777777777777,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_709,1,0.022222222222222223
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,45,33,0.7333333333333333,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_708,3,0.06666666666666667
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_708,56,50,0.8928571428571429,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,3,0.05357142857142857
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_709,67,53,0.7910447761194029,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,6,0.08955223880597014
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_001,51,44,0.8627450980392157,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_020,4,0.0784313725490196
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_006,39,33,0.8461538461538461,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,3,0.07692307692307693
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,33,25,0.7575757575757576,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_006,3,0.09090909090909091
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,31,25,0.8064516129032258,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_006,6,0.1935483870967742
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_020,50,39,0.78,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_001,11,0.22
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_030,53,50,0.9433962264150944,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_709,1,0.018867924528301886
Lise-Meitner-Str-9_9377__Outdoor__North,55,47,0.8545454545454545,Lise-Meitner-Str-9_9377__Outdoor__South,4,0.07272727272727272
Lise-Meitner-Str-9_9377__Outdoor__North_East,78,55,0.7051282051282052,Lise-Meitner-Str-9_9377__Outdoor__South_East,11,0.14102564102564102
Lise-Meitner-Str-9_9377__Outdoor__South,81,61,0.7530864197530864,Lise-Meitner-Str-9_9377__Outdoor__North,15,0.18518518518518517
Lise-Meitner-Str-9_9377__Outdoor__South_East,67,54,0.8059701492537313,Lise-Meitner-Str-9_9377__Outdoor__North_East,5,0.07462686567164178
Willy-Messerschmitt-5_9387__Indoor__HW_701,64,63,0.984375,Willy-Messerschmitt-5_9387__Indoor__RM_020,1,0.015625
Willy-Messerschmitt-5_9387__Indoor__RM_006,42,41,0.9761904761904762,Willy-Messerschmitt-5_9387__Indoor__RM_011,1,0.023809523809523808
Willy-Messerschmitt-5_9387__Indoor__RM_011,53,39,0.7358490566037735,Willy-Messerschmitt-5_9387__Indoor__RM_012,11,0.20754716981132076
Willy-Messerschmitt-5_9387__Indoor__RM_012,56,41,0.7321428571428571,Willy-Messerschmitt-5_9387__Indoor__RM_011,12,0.21428571428571427
Willy-Messerschmitt-5_9387__Indoor__RM_019,53,39,0.7358490566037735,Willy-Messerschmitt-5_9387__Indoor__RM_020,12,0.22641509433962265
Willy-Messerschmitt-5_9387__Indoor__RM_020,38,27,0.7105263157894737,Willy-Messerschmitt-5_9387__Indoor__RM_019,10,0.2631578947368421
Willy-Messerschmitt-5_9387__Outdoor__Main_entrance,76,69,0.9078947368421053,Lise-Meitner-Str-9_9377__Outdoor__North,4,0.05263157894736842
