class,n_val,correct,acc_in_class,top_misclass,top_misclass_count,top_misclass_pct
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,37,28,0.7567567567567568,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,9,0.24324324324324326
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_718,33,32,0.9696969696969697,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,1,0.030303030303030304
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,18,11,0.6111111111111112,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,6,0.3333333333333333
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__RM_126,45,44,0.9777777777777777,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,1,0.022222222222222223
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,45,41,0.9111111111111111,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_709,3,0.06666666666666667
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_708,56,51,0.9107142857142857,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,4,0.07142857142857142
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_709,67,65,0.9701492537313433,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,1,0.014925373134328358
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_001,51,47,0.9215686274509803,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_020,3,0.058823529411764705
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_006,39,36,0.9230769230769231,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,3,0.07692307692307693
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,33,32,0.9696969696969697,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_006,1,0.030303030303030304
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,31,26,0.8387096774193549,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_006,2,0.06451612903225806
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_020,50,50,1.0,,0,0.0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_030,53,51,0.9622641509433962,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_709,1,0.018867924528301886
Lise-Meitner-Str-9_9377__Outdoor__North,55,50,0.9090909090909091,Lise-Meitner-Str-9_9377__Outdoor__South,2,0.03636363636363636
Lise-Meitner-Str-9_9377__Outdoor__North_East,78,70,0.8974358974358975,Lise-Meitner-Str-9_9377__Outdoor__South_East,6,0.07692307692307693
Lise-Meitner-Str-9_9377__Outdoor__South,81,77,0.9506172839506173,Lise-Meitner-Str-9_9377__Outdoor__North,2,0.024691358024691357
Lise-Meitner-Str-9_9377__Outdoor__South_East,67,63,0.9402985074626866,Lise-Meitner-Str-9_9377__Outdoor__South,2,0.029850746268656716
Willy-Messerschmitt-5_9387__Indoor__HW_701,64,64,1.0,,0,0.0
Willy-Messerschmitt-5_9387__Indoor__RM_006,42,42,1.0,,0,0.0
Willy-Messerschmitt-5_9387__Indoor__RM_011,53,51,0.9622641509433962,Willy-Messerschmitt-5_9387__Indoor__RM_012,2,0.03773584905660377
Willy-Messerschmitt-5_9387__Indoor__RM_012,56,48,0.8571428571428571,Willy-Messerschmitt-5_9387__Indoor__RM_011,7,0.125
Willy-Messerschmitt-5_9387__Indoor__RM_019,53,50,0.9433962264150944,Willy-Messerschmitt-5_9387__Indoor__RM_020,3,0.05660377358490566
Willy-Messerschmitt-5_9387__Indoor__RM_020,38,31,0.8157894736842105,Willy-Messerschmitt-5_9387__Indoor__RM_019,4,0.10526315789473684
Willy-Messerschmitt-5_9387__Outdoor__Main_entrance,76,75,0.9868421052631579,Lise-Meitner-Str-9_9377__Outdoor__South,1,0.013157894736842105
