class,n_val,correct,acc_in_class,top_misclass,top_misclass_count,top_misclass_pct
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,37,27,0.7297297297297297,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,9,0.24324324324324326
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_718,33,31,0.9393939393939394,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,1,0.030303030303030304
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,18,13,0.7222222222222222,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,5,0.2777777777777778
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__RM_126,45,44,0.9777777777777777,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,1,0.022222222222222223
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,45,40,0.8888888888888888,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_708,2,0.044444444444444446
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_708,56,51,0.9107142857142857,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,4,0.07142857142857142
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_709,67,62,0.9253731343283582,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,2,0.029850746268656716
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_001,51,51,1.0,,0,0.0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_006,39,36,0.9230769230769231,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,2,0.05128205128205128
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,33,33,1.0,,0,0.0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,31,27,0.8709677419354839,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_006,3,0.0967741935483871
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_020,50,48,0.96,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_001,2,0.04
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_030,53,51,0.9622641509433962,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_709,1,0.018867924528301886
Lise-Meitner-Str-9_9377__Outdoor__North,55,52,0.9454545454545454,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_718,1,0.01818181818181818
Lise-Meitner-Str-9_9377__Outdoor__North_East,78,69,0.8846153846153846,Lise-Meitner-Str-9_9377__Outdoor__South_East,7,0.08974358974358974
Lise-Meitner-Str-9_9377__Outdoor__South,81,77,0.9506172839506173,Lise-Meitner-Str-9_9377__Outdoor__North,2,0.024691358024691357
Lise-Meitner-Str-9_9377__Outdoor__South_East,67,63,0.9402985074626866,Lise-Meitner-Str-9_9377__Outdoor__North_East,2,0.029850746268656716
Willy-Messerschmitt-5_9387__Indoor__HW_701,64,63,0.984375,Willy-Messerschmitt-5_9387__Indoor__RM_019,1,0.015625
Willy-Messerschmitt-5_9387__Indoor__RM_006,42,42,1.0,,0,0.0
Willy-Messerschmitt-5_9387__Indoor__RM_011,53,49,0.9245283018867925,Willy-Messerschmitt-5_9387__Indoor__RM_012,2,0.03773584905660377
Willy-Messerschmitt-5_9387__Indoor__RM_012,56,48,0.8571428571428571,Willy-Messerschmitt-5_9387__Indoor__RM_011,7,0.125
Willy-Messerschmitt-5_9387__Indoor__RM_019,53,46,0.8679245283018868,Willy-Messerschmitt-5_9387__Indoor__RM_020,7,0.1320754716981132
Willy-Messerschmitt-5_9387__Indoor__RM_020,38,35,0.9210526315789473,Willy-Messerschmitt-5_9387__Indoor__RM_011,2,0.05263157894736842
Willy-Messerschmitt-5_9387__Outdoor__Main_entrance,76,75,0.9868421052631579,Lise-Meitner-Str-9_9377__Outdoor__South,1,0.013157894736842105
