class,n_val,correct,acc_in_class,top_misclass,top_misclass_count,top_misclass_pct
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,37,0,0.0,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,37,1.0
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_718,33,0,0.0,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,33,1.0
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,18,0,0.0,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,18,1.0
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__RM_126,45,0,0.0,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,44,0.9777777777777777
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,45,0,0.0,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,45,1.0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_708,56,0,0.0,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,56,1.0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_709,67,0,0.0,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,67,1.0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_001,51,0,0.0,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,44,0.8627450980392157
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_006,39,0,0.0,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,39,1.0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,33,0,0.0,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,33,1.0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,31,31,1.0,,0,0.0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_020,50,0,0.0,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,48,0.96
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_030,53,0,0.0,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,53,1.0
Lise-Meitner-Str-9_9377__Outdoor__North,55,0,0.0,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,39,0.7090909090909091
Lise-Meitner-Str-9_9377__Outdoor__North_East,78,0,0.0,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,55,0.7051282051282052
Lise-Meitner-Str-9_9377__Outdoor__South,81,0,0.0,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,59,0.7283950617283951
Lise-Meitner-Str-9_9377__Outdoor__South_East,67,22,0.3283582089552239,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,43,0.6417910447761194
Willy-Messerschmitt-5_9387__Indoor__HW_701,64,0,0.0,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,62,0.96875
Willy-Messerschmitt-5_9387__Indoor__RM_006,42,0,0.0,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,42,1.0
Willy-Messerschmitt-5_9387__Indoor__RM_011,53,0,0.0,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,53,1.0
Willy-Messerschmitt-5_9387__Indoor__RM_012,56,0,0.0,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,56,1.0
Willy-Messerschmitt-5_9387__Indoor__RM_019,53,0,0.0,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,53,1.0
Willy-Messerschmitt-5_9387__Indoor__RM_020,38,0,0.0,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,37,0.9736842105263158
Willy-Messerschmitt-5_9387__Outdoor__Main_entrance,76,0,0.0,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,43,0.5657894736842105
