true\pred,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_718,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__RM_126,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_708,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_709,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_001,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_006,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_020,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_030,Lise-Meitner-Str-9_9377__Outdoor__North,Lise-Meitner-Str-9_9377__Outdoor__North_East,Lise-Meitner-Str-9_9377__Outdoor__South,Lise-Meitner-Str-9_9377__Outdoor__South_East,Willy-Messerschmitt-5_9387__Indoor__HW_701,Willy-Messerschmitt-5_9387__Indoor__RM_006,Willy-Messerschmitt-5_9387__Indoor__RM_011,Willy-Messerschmitt-5_9387__Indoor__RM_012,Willy-Messerschmitt-5_9387__Indoor__RM_019,Willy-Messerschmitt-5_9387__Indoor__RM_020,Willy-Messerschmitt-5_9387__Outdoor__Main_entrance
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,29,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_718,3,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,4,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__RM_126,0,0,0,43,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,1,1,1,1,34,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_708,1,2,0,0,5,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_709,2,0,1,0,2,2,58,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_001,0,0,0,0,1,0,0,47,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_006,0,0,1,0,0,0,0,0,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,0,0,0,0,1,0,0,0,4,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_020,0,0,0,0,0,0,0,4,0,0,0,45,1,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_030,0,0,0,0,0,0,1,0,2,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Outdoor__North,0,0,0,0,0,1,1,1,0,0,0,0,0,49,0,2,1,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Outdoor__North_East,0,0,0,0,0,0,0,0,0,0,0,0,0,3,51,3,20,0,0,0,0,0,0,1
Lise-Meitner-Str-9_9377__Outdoor__South,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,68,6,0,0,0,1,0,0,0
Lise-Meitner-Str-9_9377__Outdoor__South_East,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,56,0,0,0,0,0,0,0
Willy-Messerschmitt-5_9387__Indoor__HW_701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0
Willy-Messerschmitt-5_9387__Indoor__RM_006,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,39,2,0,0,0,0
Willy-Messerschmitt-5_9387__Indoor__RM_011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,4,0,0,0
Willy-Messerschmitt-5_9387__Indoor__RM_012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,13,39,0,0,1
Willy-Messerschmitt-5_9387__Indoor__RM_019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,15,0
Willy-Messerschmitt-5_9387__Indoor__RM_020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,6,27,0
Willy-Messerschmitt-5_9387__Outdoor__Main_entrance,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,70
