class,n_val,correct,acc_in_class,top_misclass,top_misclass_count,top_misclass_pct
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,37,29,0.7837837837837838,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,5,0.13513513513513514
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_718,33,29,0.8787878787878788,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,3,0.09090909090909091
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,18,10,0.5555555555555556,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,4,0.2222222222222222
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__RM_126,45,43,0.9555555555555556,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,1,0.022222222222222223
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,45,34,0.7555555555555555,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_708,5,0.1111111111111111
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_708,56,47,0.8392857142857143,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,5,0.08928571428571429
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_709,67,58,0.8656716417910447,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,2,0.029850746268656716
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_001,51,47,0.9215686274509803,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_020,2,0.0392156862745098
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_006,39,36,0.9230769230769231,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,2,0.05128205128205128
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,33,33,1.0,,0,0.0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,31,25,0.8064516129032258,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_006,4,0.12903225806451613
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_020,50,45,0.9,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_001,4,0.08
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_030,53,50,0.9433962264150944,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_006,2,0.03773584905660377
Lise-Meitner-Str-9_9377__Outdoor__North,55,49,0.8909090909090909,Lise-Meitner-Str-9_9377__Outdoor__South,2,0.03636363636363636
Lise-Meitner-Str-9_9377__Outdoor__North_East,78,51,0.6538461538461539,Lise-Meitner-Str-9_9377__Outdoor__South_East,20,0.2564102564102564
Lise-Meitner-Str-9_9377__Outdoor__South,81,68,0.8395061728395061,Lise-Meitner-Str-9_9377__Outdoor__North,6,0.07407407407407407
Lise-Meitner-Str-9_9377__Outdoor__South_East,67,56,0.835820895522388,Lise-Meitner-Str-9_9377__Outdoor__North_East,8,0.11940298507462686
Willy-Messerschmitt-5_9387__Indoor__HW_701,64,64,1.0,,0,0.0
Willy-Messerschmitt-5_9387__Indoor__RM_006,42,39,0.9285714285714286,Willy-Messerschmitt-5_9387__Indoor__RM_011,2,0.047619047619047616
Willy-Messerschmitt-5_9387__Indoor__RM_011,53,48,0.9056603773584906,Willy-Messerschmitt-5_9387__Indoor__RM_012,4,0.07547169811320754
Willy-Messerschmitt-5_9387__Indoor__RM_012,56,39,0.6964285714285714,Willy-Messerschmitt-5_9387__Indoor__RM_011,13,0.23214285714285715
Willy-Messerschmitt-5_9387__Indoor__RM_019,53,38,0.7169811320754716,Willy-Messerschmitt-5_9387__Indoor__RM_020,15,0.2830188679245283
Willy-Messerschmitt-5_9387__Indoor__RM_020,38,27,0.7105263157894737,Willy-Messerschmitt-5_9387__Indoor__RM_019,6,0.15789473684210525
Willy-Messerschmitt-5_9387__Outdoor__Main_entrance,76,70,0.9210526315789473,Lise-Meitner-Str-9_9377__Outdoor__North,3,0.039473684210526314
